,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Sales
31,NCS17,2.5,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,947.0
32,FDP33,0.5,Low Fat,0.0,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,4163.0
33,FDO23,2.2,Low Fat,0.0,Breads,93.1436,OUT045,2002,Medium,Tier 2,Supermarket Type1,1067.0
34,DRH01,3.0,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,1724.0
35,NCX29,2.2,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,1386.0
36,FDV20,2.7,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,1559.0
37,DRZ11,3.2,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1466.0
38,FDX10,0.5,Regular,0.123111453,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,294.0
39,FDB34,0.5,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,620.0
40,FDU02,2.6,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3020.0
41,FDK43,3.3,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,1394.0
42,FDA46,2.7,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2383.0
43,FDC02,0.9,Low Fat,0.069102831,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,3955.0
44,FDL50,2.8,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,1368.0
45,FDM39,2.9,Low Fat,0.089498926,Dairy,178.1002,OUT010,1998,Medium,Tier 3,Grocery Store,1733.0
46,NCP05,3.2,Low Fat,0.0,Health and Hygiene,153.3024,OUT045,2002,Medium,Tier 2,Supermarket Type1,1763.0
47,FDV49,3.3,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Medium,Tier 2,Supermarket Type1,4066.0
48,FDL12,2.3,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,541.0
49,FDS02,1.0,Regular,0.19453961000000003,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,2361.0
50,NCL17,3.3,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,1306.0
51,FDM40,2.9,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,1454.0
52,FDR13,1.3,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,1038.0
53,FDA43,0.5,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Medium,Tier 2,Supermarket Type1,2393.0
54,NCP18,2.4,Low Fat,0.028760013,Household,151.4708,OUT017,2007,Medium,Tier 2,Supermarket Type1,1992.0
55,FDK21,3.1,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,4096.0
56,NCX54,1.3,Low Fat,0.048157338,Household,106.1622,OUT045,2002,Medium,Tier 2,Supermarket Type1,1177.0
57,DRK35,2.1,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,220.0
58,FDY21,2.8,Low Fat,0.173481304,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,2076.0
59,FDI26,0.9,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,2183.0
60,FDM20,3.2,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3651.0
61,FDV27,2.2,Regular,0.040071131,Meat,87.3514,OUT045,2002,Medium,Tier 2,Supermarket Type1,656.0
62,FDF09,3.3,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,393.0
63,FDY40,2.3,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,407.0
64,FDY45,1.0,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,3587.0
65,FDC46,1.4,Low Fat,0.19453961000000003,Snack Foods,185.4266,OUT010,1998,Medium,Tier 3,Grocery Store,2120.0
66,FDH19,3.3,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,1987.0
67,FDZ03,1.3,Regular,0.078946455,Dairy,186.024,OUT045,2002,Medium,Tier 2,Supermarket Type1,2307.0
68,DRH37,3.3,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Medium,Tier 2,Supermarket Type1,1813.0
69,NCI17,1.0,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,1014.0
70,FDJ58,3.0,Regular,0.105296072,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,1936.0
71,FDL12,2.7,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,404.0
72,FDH35,2.4,Low Fat,0.0,Starchy Foods,164.7526,OUT045,2002,Medium,Tier 2,Supermarket Type1,1775.0
73,FDG02,2.9,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Medium,Tier 2,Supermarket Type1,2388.0
74,NCZ18,1.0,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,3846.0
75,FDC29,1.6,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,1068.0
76,FDQ10,0.4,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1709.0
77,FDN48,1.0,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,785.0
78,FDL04,1.4,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1094.0
79,FDV25,1.0,Low Fat,0.0,Canned,222.5456,OUT045,2002,Medium,Tier 2,Supermarket Type1,3023.0
80,FDD58,0.5,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1124.0
81,FDN04,3.2,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,2345.0
82,FDV45,3.1,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,2062.0
83,NCL18,1.3,Low Fat,0.19453961000000003,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,2318.0
84,FDR12,1.9,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,1950.0
85,FDG20,3.2,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Medium,Tier 2,Supermarket Type1,1903.0
86,FDZ55,1.0,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,1835.0
87,FDQ49,3.0,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,1799.0
88,FDN33,2.3,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,1126.0
89,FDN27,2.0,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1051.0
90,FDW20,2.4,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,Medium,Tier 3,Grocery Store,1397.0
91,DRG27,1.0,Low Fat,0.105274111,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,367.0
92,DRI25,1.0,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Medium,Tier 2,Supermarket Type1,491.0
93,FDA44,2.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,469.0
94,NCR17,3.3,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1108.0
95,FDU04,2.8,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,1541.0
96,FDF41,3.1,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,4145.0
97,FDB56,3.2,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,2328.0
98,NCP18,2.6,Low Fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,1338.0
99,FDB56,2.6,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,2139.0
100,FDT28,1.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Medium,Tier 2,Supermarket Type1,1855.0
101,FDD10,0.9,Regular,0.045797829,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,1725.0
102,FDW57,2.3,Regular,0.115857223,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,1814.0
103,DRB48,2.8,Regular,0.024832806,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,367.0
104,FDP09,1.2,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,2579.0
105,FDH14,1.2,Regular,0.0467696,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,1545.0
106,FDA47,1.0,Regular,0.116576702,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1940.0
107,FDG12,1.0,Regular,0.0,Baking Goods,121.3098,OUT045,2002,Medium,Tier 2,Supermarket Type1,1540.0
108,DRE60,3.3,Low Fat,0.19453961000000003,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,2999.0
109,DRK49,1.3,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,292.0
110,FDD03,3.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,2951.0
111,FDS52,1.3,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Medium,Tier 2,Supermarket Type1,940.0
112,FDW39,2.0,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,1947.0
113,FDX34,3.3,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,1326.0
114,FDV11,1.6,Regular,0.0,Breads,173.2054,OUT045,2002,Medium,Tier 2,Supermarket Type1,1803.0
115,FDD17,0.7,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,3052.0
116,FDZ16,0.4,Regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Medium,Tier 2,Supermarket Type1,2151.0
117,FDZ46,1.4,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,1073.0
118,DRA12,2.1,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Medium,Tier 2,Supermarket Type1,1596.0
119,FDY58,2.4,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,3071.0
120,NCF19,1.2,Low Fat,0.035307322,Household,47.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,395.0
121,DRJ13,3.2,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Medium,Tier 2,Supermarket Type1,1988.0
122,FDB14,3.3,Regular,0.171938781,Canned,92.512,OUT010,1998,Medium,Tier 3,Grocery Store,1058.0
123,FDJ38,1.4,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,2297.0
124,FDW11,0.7,Low Fat,0.049058014,Breads,62.7194,OUT017,2007,Medium,Tier 2,Supermarket Type1,544.0
125,FDL40,2.0,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,937.0
126,DRI49,1.2,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,565.0
127,FDV38,1.8,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,Medium,Tier 2,Supermarket Type1,418.0
128,DRG23,2.5,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,1800.0
129,NCP30,2.8,Low Fat,0.032835147,Household,40.2822,OUT045,2002,Medium,Tier 2,Supermarket Type1,239.0
130,FDY25,3.3,Low Fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,2215.0
131,NCH54,0.4,Low Fat,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1862.0
132,NCR53,2.0,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,3126.0
133,FDS52,1.8,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Medium,Tier 3,Grocery Store,957.0
134,FDG02,2.4,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,2117.0
135,NCO26,1.3,Low Fat,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,955.0
136,FDH35,2.0,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,1952.0
137,FDB51,3.0,Low Fat,0.038532062,Dairy,60.5852,OUT045,2002,Medium,Tier 2,Supermarket Type1,400.0
138,FDX44,2.7,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,Medium,Tier 2,Supermarket Type1,1008.0
139,NCN07,2.4,Low Fat,0.056816465,Others,132.1284,OUT010,1998,Medium,Tier 3,Grocery Store,1334.0
140,NCC31,3.1,Low Fat,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1724.0
141,NCX54,1.9,Low Fat,0.048331717,Household,105.1622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1193.0
142,NCO55,3.3,Low Fat,0.091221855,Others,105.5938,OUT045,2002,Medium,Tier 2,Supermarket Type1,962.0
143,NCC30,1.0,Low Fat,0.027622076,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,1767.0
144,FDI16,2.1,Regular,0.0,Frozen Foods,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,462.0
145,FDP16,3.1,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,4064.0
146,FDB11,1.3,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,3237.0
147,NCB06,3.2,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1709.0
148,FDA45,0.5,Low Fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,1912.0
149,NCO26,1.0,Low Fat,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,908.0
150,DRJ25,1.2,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,2007,Medium,Tier 2,Supermarket Type1,494.0
151,FDR28,3.0,Regular,0.026001976,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1724.0
152,FDI04,3.2,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2041.0
153,DRK12,1.2,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,307.0
154,FDX20,0.5,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3468.0
155,NCI18,1.6,Low Fat,0.014081156,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3025.0
156,FDB36,3.1,Regular,0.0,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,1598.0
157,FDN13,1.3,Low Fat,0.152918384,Breakfast,99.8358,OUT017,2007,Medium,Tier 2,Supermarket Type1,1030.0
158,DRD24,1.0,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,2007,Medium,Tier 2,Supermarket Type1,1300.0
159,FDQ28,1.0,Regular,0.060376776,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,1913.0
160,FDM22,2.1,Regular,0.04192285,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,534.0
161,FDR07,2.3,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1055.0
162,FDV25,3.2,Low Fat,0.045838211,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3265.0
163,DRF49,2.9,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,1193.0
164,FDW51,0.5,Regular,0.094659871,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,2607.0
165,DRL01,3.1,Regular,0.077608838,Soft Drinks,233.4958,OUT017,2007,Medium,Tier 2,Supermarket Type1,3344.0
166,FDP25,0.7,Low Fat,0.021327477,Canned,216.8824,OUT017,2007,Medium,Tier 2,Supermarket Type1,2399.0
167,FDL50,1.2,Regular,0.042485444,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1425.0
168,NCB30,3.2,Low Fat,0.025578526,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,2130.0
169,FDW11,2.2,Low Fat,0.0489808,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,464.0
170,NCM43,3.2,Low Fat,0.019471688,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,1951.0
171,FDK44,0.9,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,2007,Medium,Tier 2,Supermarket Type1,1839.0
172,FDM15,3.0,Regular,0.057373797,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1859.0
173,FDS31,1.8,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,1999.0
174,FDI32,3.1,Low Fat,0.19453961000000003,Fruits and Vegetables,115.1834,OUT010,1998,Medium,Tier 3,Grocery Store,1169.0
175,FDR47,3.2,Low Fat,0.0,Breads,196.5794,OUT010,1998,Medium,Tier 3,Grocery Store,2215.0
176,FDB35,0.5,Regular,0.064750025,Starchy Foods,92.6804,OUT045,2002,Medium,Tier 2,Supermarket Type1,942.0
177,NCU05,1.0,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,1998,Medium,Tier 3,Grocery Store,745.0
178,DRY23,3.2,Regular,0.191013663,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,368.0
179,FDO24,0.4,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,2002,Medium,Tier 2,Supermarket Type1,1923.0
180,FDQ28,0.5,Regular,0.060134441,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,1837.0
181,FDV39,3.1,Low Fat,0.007294652,Meat,198.1426,OUT045,2002,Medium,Tier 2,Supermarket Type1,2166.0
182,NCO17,2.5,Low Fat,0.128478462,Health and Hygiene,117.944,OUT019,1985,Small,Tier 1,Grocery Store,1136.0
183,FDU50,0.4,Regular,0.075107656,Dairy,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,1071.0
184,FDT12,0.5,Regular,0.049381406,Baking Goods,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,3141.0
185,FDK58,0.4,Regular,0.045165796,Snack Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1062.0
186,FDO08,3.1,Regular,0.09415375,Fruits and Vegetables,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,1975.0
187,NCW29,1.2,Low Fat,0.028907832,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,1391.0
188,FDE04,1.9,Regular,0.018059621,Frozen Foods,179.766,OUT045,2002,Medium,Tier 2,Supermarket Type1,1799.0
189,NCB19,1.6,Low Fat,0.090436094,Household,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,553.0
190,FDV15,0.4,Low Fat,0.146399712,Meat,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,998.0
191,FDL58,3.1,Regular,0.074264356,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,4163.0
192,FDA08,2.4,Regular,0.050186726,Fruits and Vegetables,164.1526,OUT045,2002,Medium,Tier 2,Supermarket Type1,1737.0
193,FDT43,0.4,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,475.0
194,NCX06,2.9,Low Fat,0.01561108,Household,182.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,2065.0
195,FDT20,3.0,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,279.0
196,FDB41,3.1,Regular,0.097313129,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,242.0
197,NCN55,3.0,Low Fat,0.059582996,Others,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,3187.0
198,FDE40,1.2,Regular,0.098663652,Dairy,62.9194,OUT027,1985,Medium,Tier 3,Supermarket Type3,462.0
199,FDX49,2.4,Regular,0.101338651,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,3115.0
200,NCM53,1.0,Low Fat,0.052146456,Health and Hygiene,104.628,OUT045,2002,Medium,Tier 2,Supermarket Type1,1128.0
201,FDE36,2.4,Regular,0.041764487,Baking Goods,161.8868,OUT035,2004,Small,Tier 2,Supermarket Type1,1746.0
202,FDN57,1.9,Low Fat,0.054344186,Snack Foods,140.2154,OUT045,2002,Medium,Tier 2,Supermarket Type1,1598.0
203,FDI24,2.4,Low Fat,0.078362484,Baking Goods,177.937,OUT027,1985,Medium,Tier 3,Supermarket Type3,1986.0
204,FDI19,0.4,Low Fat,0.052339069,Meat,242.7512,OUT046,1997,Small,Tier 1,Supermarket Type1,3594.0
205,FDF24,3.3,Regular,0.042464962,Baking Goods,81.5934,OUT010,1998,Medium,Tier 3,Grocery Store,628.0
206,FDG52,0.9,Low Fat,0.065732883,Frozen Foods,45.7402,OUT049,1999,Medium,Tier 1,Supermarket Type1,238.0
207,DRF36,2.9,Low Fat,0.023625114,Soft Drinks,189.3846,OUT045,2002,Medium,Tier 2,Supermarket Type1,2238.0
208,FDS45,3.3,Regular,0.051643608,Snack Foods,107.3622,OUT019,1985,Small,Tier 1,Grocery Store,1071.0
209,FDX40,3.0,Low Fat,0.165694219,Frozen Foods,39.7164,OUT010,1998,Medium,Tier 3,Grocery Store,228.0
210,DRK12,3.3,Low Fat,0.041878397,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,363.0
211,DRC27,2.9,Low Fat,0.058091482,Dairy,245.1802,OUT035,2004,Small,Tier 2,Supermarket Type1,3715.0
